gene,HR,CI_low,CI_high,p_value
GENE291,0.43267467348339916,0.26695493814413657,0.7012695639774512,0.0006732659128280372
GENE406,0.7303537238488143,0.3999659445901006,1.3336549502645643,0.30640738672458134
GENE95,1.2634344182980997,0.7840576822040365,2.035904456484694,0.3367561998914286
GENE437,1.5890727646497902,1.0341304287166173,2.4418121556344756,0.034593702636740144
GENE38,0.5456323045482921,0.28067582604322955,1.0607062815620836,0.07406730112421832
GENE54,1.2591312521715383,0.8651584032951968,1.8325100977538733,0.2287954656189651
GENE362,1.7033269472012795,0.9787434250118245,2.9643342830394785,0.05957034588485362
GENE196,1.7164162882842295,1.077273288550347,2.7347609060759925,0.023016822252885268
GENE363,1.5767784637280715,0.9941567237697747,2.5008434427210235,0.05298276917627285
GENE173,1.2050473161111546,0.705322237052936,2.0588306419122735,0.49491104696107546
