,importance
GENE38,0.08095238095238089
GENE190,0.03968253968253963
GENE291,0.033333333333333305
GENE113,0.028571428571428487
GENE259,0.025396825396825324
GENE133,0.023809523809523742
GENE332,0.01904761904761898
GENE269,0.019047619047618963
GENE351,0.0174603174603174
GENE189,0.015873015873015817
GENE200,0.015873015873015817
GENE314,0.015873015873015817
GENE9,0.015873015873015817
GENE290,0.014285714285714235
GENE111,0.014285714285714235
GENE460,0.014285714285714235
GENE27,0.014285714285714235
GENE143,0.014285714285714235
GENE370,0.012698412698412653
GENE107,0.012698412698412653
GENE170,0.012698412698412653
GENE347,0.011111111111111072
GENE116,0.011111111111111072
GENE128,0.011111111111111072
GENE475,0.011111111111111072
GENE469,0.011111111111111072
GENE185,0.011111111111111072
GENE166,0.011111111111111072
GENE359,0.011111111111111053
GENE142,0.00952380952380949
